USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  23044 14472 ?        Ss   15:56   0:01 /sbin/init splash
root        1732  0.0  0.1  41280 12692 ?        S    15:56   0:00 /usr/lib/vmware-vgauth/VGAuthService -s
root        1778  0.0  0.1  46760 12300 ?        Ss   15:56   0:00 /usr/sbin/cupsd -l
root        1785  0.0  0.2 120928 23560 ?        Ssl  15:56   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1811  0.0  0.1 323892  9888 ?        Ssl  15:56   0:00 /usr/sbin/gdm3
root        1833  0.0  0.0      0     0 ?        S    15:56   0:00 [psimon]
cups-br+    1835  0.0  0.2 268500 20656 ?        Ssl  15:56   0:00 /usr/sbin/cups-browsed
kernoops    1839  0.0  0.0  12752  2352 ?        Ss   15:56   0:00 /usr/sbin/kerneloops --test
kernoops    1843  0.0  0.0  12752  2404 ?        Ss   15:56   0:00 /usr/sbin/kerneloops
rtkit       1881  0.0  0.0  22948  3532 ?        SNsl 15:56   0:00 /usr/libexec/rtkit-daemon
colord      1979  0.0  0.1 329144 15240 ?        Ssl  15:56   0:00 /usr/libexec/colord
root        2024  0.0  0.1 325712  9680 ?        Ssl  15:56   0:00 /usr/libexec/upowerd
root        2354  0.0  0.1 399164 11696 ?        Sl   15:56   0:00 gdm-session-worker [pam/gdm-password]
sergeyp     2363  0.0  0.1  21144 12716 ?        Ss   15:56   0:00 /usr/lib/systemd/systemd --user
sergeyp     2367  0.0  0.0  21472  3672 ?        S    15:56   0:00 (sd-pam)
sergeyp     2377  0.0  0.1 124248 14900 ?        S<sl 15:56   0:01 /usr/bin/pipewire
sergeyp     2381  0.0  0.0 106412  6240 ?        Ssl  15:56   0:00 /usr/bin/pipewire -c filter-chain.conf
sergeyp     2384  0.0  0.2 415880 19828 ?        S<sl 15:56   0:00 /usr/bin/wireplumber
sergeyp     2385  0.0  0.1 129856 14360 ?        S<sl 15:56   0:00 /usr/bin/pipewire-pulse
sergeyp     2387  0.0  0.1 325588 11148 ?        SLsl 15:56   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
sergeyp     2390  0.0  0.0  11108  7048 ?        Ss   15:56   0:02 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
sergeyp     2434  0.0  0.1 694132  8116 ?        Ssl  15:56   0:00 /usr/libexec/xdg-document-portal
sergeyp     2438  0.0  0.0 318512  6816 ?        Ssl  15:56   0:00 /usr/libexec/xdg-permission-store
root        2445  0.0  0.0   2712  2100 ?        Ss   15:56   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
sergeyp     2467  0.0  0.0 244768  6840 tty2     Ssl+ 15:56   0:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
sergeyp     2472  0.0  0.2 307332 17348 tty2     Sl+  15:56   0:00 /usr/libexec/gnome-session-binary --session=ubuntu
sergeyp     2561  0.0  0.0 162660  7036 ?        Ssl  15:56   0:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
sergeyp     2562  0.0  0.0 100224  5860 ?        Ssl  15:56   0:00 /usr/libexec/gnome-session-ctl --monitor
sergeyp     2576  0.0  0.1 323392  8796 ?        Ssl  15:56   0:00 /usr/libexec/gvfsd
sergeyp     2584  0.0  0.0 468784  7728 ?        Sl   15:56   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
sergeyp     2592  0.0  0.2 604032 19912 ?        Ssl  15:56   0:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
sergeyp     2618  0.0  0.1 382996  8116 ?        Sl   15:56   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
sergeyp     2619  1.8  3.8 4533264 311512 ?      Ssl  15:56   3:06 /usr/bin/gnome-shell
sergeyp     2632  0.0  0.0   9768  5504 ?        S    15:56   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
sergeyp     2672  0.0  0.0 236076  7800 ?        Sl   15:56   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
sergeyp     2695  0.0  0.2 654796 18124 ?        Sl   15:56   0:00 /usr/libexec/gnome-shell-calendar-server
sergeyp     2703  0.0  0.5 1284472 44364 ?       Ssl  15:56   0:00 /usr/libexec/evolution-source-registry
sergeyp     2715  0.0  0.3 2802788 28148 ?       Sl   15:56   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
sergeyp     2722  0.0  0.1 397916 13056 ?        Ssl  15:56   0:08 /usr/bin/ibus-daemon --panel disable
sergeyp     2728  0.0  0.0 392736  7420 ?        Ssl  15:56   0:00 /usr/libexec/gsd-a11y-settings
sergeyp     2740  0.0  0.2 422704 22220 ?        Ssl  15:56   0:00 /usr/libexec/gsd-color
sergeyp     2742  0.0  0.1 440904 12908 ?        Ssl  15:56   0:00 /usr/libexec/gsd-datetime
sergeyp     2743  0.0  0.1 468088  8712 ?        Ssl  15:56   0:00 /usr/libexec/gsd-housekeeping
sergeyp     2744  0.0  0.2 495280 21428 ?        Ssl  15:56   0:00 /usr/libexec/gsd-keyboard
sergeyp     2745  0.0  0.3 530272 27280 ?        Ssl  15:56   0:00 /usr/libexec/gsd-media-keys
sergeyp     2746  0.0  0.3 606872 26064 ?        Ssl  15:56   0:00 /usr/libexec/gsd-power
sergeyp     2747  0.0  0.1 332656 12340 ?        Ssl  15:56   0:00 /usr/libexec/gsd-print-notifications
sergeyp     2748  0.0  0.0 305500  7392 ?        Sl   15:56   0:00 /usr/libexec/gsd-disk-utility-notify
sergeyp     2750  0.0  0.0 540252  7372 ?        Ssl  15:56   0:00 /usr/libexec/gsd-rfkill
sergeyp     2751  0.0  0.0 318452  6568 ?        Ssl  15:56   0:00 /usr/libexec/gsd-screensaver-proxy
sergeyp     2756  0.0  0.5 445408 48312 ?        Sl   15:56   0:06 /usr/bin/vmtoolsd -n vmusr --uinputFd 3
sergeyp     2766  0.0  0.1 552416 12368 ?        Ssl  15:56   0:00 /usr/libexec/gsd-sharing
sergeyp     2782  0.0  0.8 836268 65944 ?        Sl   15:56   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
sergeyp     2786  0.0  0.1 395036  8936 ?        Ssl  15:56   0:00 /usr/libexec/gsd-smartcard
sergeyp     2833  0.0  0.1 402852 10544 ?        Ssl  15:56   0:00 /usr/libexec/gsd-sound
sergeyp     2851  0.0  0.2 496256 22472 ?        Ssl  15:56   0:00 /usr/libexec/gsd-wacom
sergeyp     2866  0.0  0.1 398496 11004 ?        Ssl  15:56   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
sergeyp     2926  0.0  0.1 425132 15696 ?        Sl   15:56   0:00 /usr/libexec/gsd-printer
sergeyp     2948  0.0  0.3 555824 25124 ?        Sl   15:56   0:00 /usr/libexec/goa-daemon
sergeyp     2959  0.0  0.0 245720  7772 ?        Sl   15:56   0:00 /usr/libexec/ibus-memconf
sergeyp     2960  0.0  0.3 431168 31508 ?        Sl   15:56   0:02 /usr/libexec/ibus-extension-gtk3
sergeyp     2973  0.0  0.0 319316  7624 ?        Sl   15:56   0:00 /usr/libexec/ibus-portal
sergeyp     2996  0.0  0.3 1113048 25840 ?       Ssl  15:56   0:00 /usr/libexec/evolution-calendar-factory
sergeyp     2999  0.0  0.0 319624  7444 ?        Ssl  15:56   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
sergeyp     3010  0.0  0.1 398220  9892 ?        Sl   15:56   0:00 /usr/libexec/goa-identity-service
sergeyp     3020  0.0  0.0 318656  7020 ?        Ssl  15:56   0:00 /usr/libexec/gvfs-mtp-volume-monitor
sergeyp     3032  0.0  0.1 398272  8568 ?        Ssl  15:56   0:00 /usr/libexec/gvfs-afc-volume-monitor
sergeyp     3034  0.0  0.3 834596 31296 ?        Ssl  15:56   0:00 /usr/libexec/evolution-addressbook-factory
sergeyp     3041  0.0  0.0 245288  7024 ?        Ssl  15:56   0:00 /usr/libexec/gvfsd-metadata
sergeyp     3042  0.0  0.0 318788  7036 ?        Ssl  15:56   0:00 /usr/libexec/gvfs-goa-volume-monitor
sergeyp     3056  0.2  1.2 331276 104436 ?       S    15:56   0:26 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.RKA6L3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
sergeyp     3077  0.0  0.1 245844  8256 ?        Sl   15:56   0:02 /usr/libexec/ibus-engine-simple
sergeyp     3101  0.0  0.0 230228  6288 ?        Ssl  15:56   0:00 /usr/libexec/dconf-service
sergeyp     3108  0.0  0.1 618572 10032 ?        Sl   15:56   0:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
sergeyp     3134  0.0  1.0 668532 86104 ?        Ssl  15:56   0:00 /usr/libexec/gsd-xsettings
sergeyp     3138  0.0  0.3 2802744 28172 ?       Sl   15:56   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
sergeyp     3168  0.0  0.1 710732 15972 ?        Ssl  15:56   0:04 /usr/libexec/xdg-desktop-portal
sergeyp     3197  0.0  0.3 276732 26292 ?        Sl   15:56   0:03 /usr/libexec/ibus-x11
sergeyp     3204  0.0  0.4 893620 35340 ?        SNsl 15:56   0:01 /usr/libexec/tracker-miner-fs-3
sergeyp     3206  0.0  0.5 566192 42324 ?        Ssl  15:56   0:02 /usr/libexec/xdg-desktop-portal-gnome
sergeyp     3217  0.0  1.4 946996 115456 ?       Sl   15:56   0:02 /usr/libexec/mutter-x11-frames
